Date,Price,Open,High,Low,Vol.,Change %
"Apr 09, 2025","30,512.78","30,648.98","30,655.88","30,461.59",18.35M,-0.44%
"Apr 08, 2025","30,648.98","30,453.94","30,733.64","30,380.66",109.65M,+0.64%
"Apr 07, 2025","30,453.94","30,639.52","30,587.74","29,993.35",178.38M,-0.61%
"Apr 06, 2025","30,639.52","31,699.58","31,016.04","30,257.08",195.37M,-3.34%
"Apr 03, 2025","31,699.58","32,026.14","32,037.45","31,606.26",60.04M,-1.02%
"Mar 27, 2025","32,026.14","31,744.30","32,026.14","31,743.60",94.71M,+0.89%
"Mar 26, 2025","31,744.30","31,761.97","31,829.21","31,566.28",120.57M,-0.06%
"Mar 25, 2025","31,761.97","31,810.98","31,879.23","31,761.97",101.85M,-0.15%
"Mar 24, 2025","31,810.98","31,933.76","32,073.00","31,757.25",91.57M,-0.38%
"Mar 23, 2025","31,933.76","31,677.58","32,022.17","31,676.62",99.08M,+0.81%
"Mar 20, 2025","31,677.58","31,348.47","31,709.42","31,348.47",143.29M,+1.05%
"Mar 19, 2025","31,348.47","31,608.69","31,653.51","31,343.43",206.76M,-0.82%
"Mar 18, 2025","31,608.69","31,458.59","31,608.69","31,415.71",244.39M,+0.48%
"Mar 17, 2025","31,458.59","31,338.34","31,478.63","31,244.28",125.98M,+0.38%
"Mar 16, 2025","31,338.34","31,290.62","31,549.01","31,290.62",171.99M,+0.15%
"Mar 13, 2025","31,290.62","31,049.03","31,331.41","31,049.03",176.84M,+0.78%
"Mar 12, 2025","31,049.03","30,935.23","31,157.07","30,935.23",164.21M,+0.37%
"Mar 11, 2025","30,935.23","31,137.03","31,137.03","30,827.66",92.41M,-0.65%
"Mar 10, 2025","31,137.03","31,130.68","31,227.43","31,048.89",146.07M,+0.02%
"Mar 09, 2025","31,130.68","30,947.44","31,212.02","30,947.44",165.60M,+0.59%
